infP,infN,infC,infS,MLSS,MLVSS,VSS/TSS,ana-time,ano-time,pH,SR,P removal
10.09,50,84,151.99,9.6,6.91,0.72,3,1,7.6,11.1616535,83.1
10.8,30.76,90.99,181.99,6.7,4.4,0.66,8.3,11.2,7.5,53.002876,100
10.69,39.73,70.17,198.51,11.6,3.82,0.33,6,2,8,102.15741,77.2
11.1,40.8,75.5,196.1,8.2,3.6,0.44,6,1.5,7.6,86.017975,62.2
14.03,50,75,150,4.8,4.1,0.85,4,4,7.6,7.942886,50.5
11.1,51.35,85,158.61,9.6,6.91,0.72,1.5,0.3,7.6,9.087692,0
10.43,22.8,76.8,151.9,7.06,4.3,0.61,12,24,7.4,45.4095,89
9.9,30.43,72.9,189.23,4.79,2.27,0.47,6,2,8,50.175987,75.3
11.1,51.35,85,158.61,9.6,6.91,0.72,1.5,1,7.6,9.087692,89.4
6.54,44.67,52.6,117.24,3.1,2.4,0.77,8,0.5,7.4,18.325752,0
10.79,22.8,76.8,151.9,7.06,4.15,0.59,12,24,7.4,38.611237,100
11.51,50,84.7,169.4,7.5,5.3,0.71,3,3,7.6,13.631075,54.4
10.06,40.13,86.95,260.84,7.7,4.6,0.6,6,3,7.5,30.39644,100
7.78,45,52,118,4,3.1,0.78,5.8,3.8,7.4,28.806763,67
11.1,9.1,75.48,177.57,5.98,3,0.5,6,2,8,40.10511,38.4
6.79,42.72,85,166.95,9.6,6.91,0.72,2,0.3,7.6,11.38386,100
11.6,40,60.22,162.75,10.73,3.55,0.33,3,2.5,7.6,69.770386,61
10.21,22.8,76.8,151.9,7,4,0.57,12,24,7.4,59.74603,100
13.93,47.5,75,195,9.6,6.91,0.72,2,1.5,7.4,16.342123,97.2
10.39,50,75,150,5.5,4.6,0.84,4.4,4.4,7.6,6.293228,94.5
10.46,47.5,75,155,9.6,6.91,0.72,2,1.5,7.4,11.840956,64.7
11.13,60.73,76.4,170.23,12,7.6,0.63,8,4,7.5,85.9253,0
11.6,40,65.91,178.13,11.08,3.96,0.36,3,2.5,7.6,64.36148,67.7
12.3,56.57,84.83,686.4,9.2,0.54,0.06,9,3,7.5,41.288506,100
11.54,22.8,76.8,151.9,7.06,4.3,0.61,12,24,7.4,58.2667,96.7
11.26,9.59,69.68,203.87,4.3,2.25,0.52,6,2,8,54.98224,66.8
7.42,20.96,63.55,72.61,8.2,3.3,0.4,9,2,7.1,70.80653,43.5
10.81,47.5,75,159,9.6,6.91,0.72,2,1.5,7.4,42.55822,69.5
14.16,50,75,150,7.5,5.3,0.71,3,3,7.6,19.424246,62.3
11.48,10.96,74.19,189.94,6.32,3.32,0.53,6,2,8,55.285587,50.7
9.08,35.85,77.3,231.91,7.7,4.6,0.6,6,3,7.5,32.64705,95.1
13.46,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,22.037275,37.1
8.12,35.4,75.4,150.79,6.7,4.4,0.66,8.9,13.2,7.5,49.8923,77
10.36,50.63,85,155.56,9.6,6.91,0.72,2,0.5,8,10.948464,100
11.05,28.57,72.26,190.45,4.28,1.99,0.47,6,2,8,50.1597,68.4
10.28,39.85,70.92,189.9,19.43,4.16,0.21,6,2,8,80.538536,88.9
10.85,30.5,81,176.78,7,5.3,0.76,4,4,7.5,4.8044834,3.4
10.16,0,73.9,200.59,8.2,3.5,0.43,5,2.5,7.1,101.7201,0
17.65,50,84,168,7.5,5.3,0.71,3,3,7.6,25.376663,57.8
11.97,0,65.16,177.04,6.09,3,0.49,6,2,8,54.946735,40.8
10.4,33.61,92.72,185.45,6.7,4.4,0.66,8.1,10.4,7.5,43.22566,100
8.84,35.96,79.82,239.46,7.7,4.6,0.6,6,3,7.5,34.402378,95.3
11.33,32.04,71.29,189.09,6.61,2.42,0.37,6,2,8,81.977066,74.1
12.56,45,75,153.06,7.5,6.41,0.85,5,6,7.5,5.1367717,28.3
14.8,60.47,89.05,240.08,7.8,0.65,0.08,9,3,7.5,46.070164,100
10.5,21.25,74.19,204.86,4.65,2.18,0.47,6,2,8,75.65327,73.8
8.78,39.85,74.28,174.59,16.41,3.57,0.22,6,2,8,72.22318,89.2
10.72,40,72.98,145.96,8.2,5.6,0.68,7.8,8.8,7.6,28.055265,77
9.37,29.93,72.79,180.93,5.29,2.32,0.44,6,2,8,56.12124,68
10.72,20.38,72.26,192.45,4.21,1.95,0.46,6,2,8,48.615654,77.2
11.38,45,72,144,4.6,3.5,0.76,4,6,7.6,16.593971,55.5
10.87,30.43,75.03,201.27,18.29,3.81,0.21,6,2,8,93.21493,95.2
10.65,40.72,68.31,197.38,17.17,3.79,0.22,6,2,8,101.7507,88.7
7.18,16.66,30,111.99,8.2,3.3,0.4,2.5,4,7.1,57.71307,32.1
10.85,30.5,81,176.78,7,5.3,0.76,4,1,7.5,4.8044834,0
5.67,50,85,160.11,9.6,6.91,0.72,2,0.5,7.6,11.58625,100
10.96,50,85,170,7.5,5.3,0.71,3,3,7.6,14.890629,93.4
3.16,32.22,79.91,159.83,6.7,4.4,0.66,9.9,16.6,7.5,48.91444,65.1
11.08,45,76.47,154.52,6.7,4,0.6,8,12,7.5,32.241516,89.1
10.74,50,82.9,172.71,12,7.83,0.65,12,23.2,7.5,71.88976,49
8.92,37.85,81.73,245.19,7.7,4.6,0.6,6,3,7.5,31.86562,94.9
10.39,39.98,68.39,206.41,5.62,2.86,0.51,6,2,8,76.43801,68.2
14.57,47.5,75,170,9.6,6.91,0.72,2,1.5,7.4,38.342968,63.6
9.96,31.44,83.34,166.67,6.7,4.4,0.66,8.4,11.4,7.5,48.774277,100
8.44,40.63,75.75,151.49,6.7,4.4,0.66,6,3,7.5,27.97912,100
12.04,47.5,75,156,9.6,6.91,0.72,2,1.5,7.4,11.368939,80.9
9.87,35.29,81.09,243.26,7.7,4.6,0.6,6,3,7.5,23.702156,95.2
19.2,50,76,152,7.5,5.3,0.71,3,3,7.6,28.233147,52.8
9.5,39.44,84.72,169.44,6.7,4.4,0.66,8.2,10.8,7.5,43.80198,100
9.87,51.63,70.17,197.53,12.58,3.61,0.29,6,2,8,92.618805,80.9
8.31,29.88,80.08,160.16,6.7,4.4,0.66,7.5,8.2,7.5,49.323395,100
10.83,60.5,74.58,157.83,7.3,5.3,0.73,6,6,7.5,3.6848714,91.2
11.64,47.5,75,175,9.6,6.91,0.72,2,1.5,7.4,23.610065,69.8
15.36,47.5,75,158,9.6,6.91,0.72,2,1.5,7.4,13.487884,66.7
10.1,47.5,75,189,9.6,6.91,0.72,2,1.5,7.4,18.458488,77.2
11.81,21.37,75.48,202.73,5.44,2.79,0.51,6,2,8,61.080563,56.8
9.62,36.54,82.19,246.57,7.7,4.6,0.6,6,3,7.5,28.373035,96
11.43,11.58,67.74,190.81,5.41,2.79,0.51,6,2,8,57.089546,57.5
12.57,0,70.32,166.17,6.15,3.07,0.5,6,2,8,34.348503,45.6
3.25,32.67,104.2,312.6,7.7,4.6,0.6,6,3,7.5,58.222015,84.3
10.28,30.43,68.31,177.3,8.49,3.13,0.37,6,2,8,69.01932,74.5
11.36,22.8,76.8,151.9,7.91,4.94,0.62,12,24,7.4,74.21048,100
13.44,50,75,150,7.5,5.3,0.71,3,3,7.6,15.3784685,53.8
4.96,35.81,73.65,220.94,7.7,4.6,0.6,6,3,7.5,45.107346,87.4
11.08,45,76.47,154.52,6.7,4,0.6,8,2,7.5,32.241516,0
10.61,50,73.16,146.32,7.5,5.3,0.71,3,3,7.6,19.481316,63.5
10.32,45,69.27,147.38,6.91,4.09,0.59,8,12,7.5,13.939022,77.2
9.41,72.13,52.57,134.63,4.3,3.3,0.77,6,1,7.4,24.084515,7.8
10.22,47.5,75,183,9.6,6.91,0.72,2,1.5,7.4,29.581934,76.1
13.17,0,74.84,172.72,6.67,3.39,0.51,6,2,8,45.148396,46.2
9.89,45,52,118,4,3.1,0.78,5.8,3.8,7.4,22.5021,62.6
15.46,45,78,159.18,7,5.37,0.77,5,6,7.5,5.505447,41.9
11.6,40,65.03,175.75,9.53,3.99,0.42,3,2.5,7.6,82.254616,56.5
9.14,29.31,77.64,191.41,19.7,3.92,0.2,6,2,8,87.36359,94.3
11.7,10.59,70.32,186.68,6.02,3.12,0.52,6,2,8,58.863853,47.9
9.55,30.43,72.41,169.27,6.96,2.52,0.36,6,2,8,50.80546,74.5
10.29,22.8,76.8,151.9,7,4.12,0.59,12,24,7.4,58.86066,46.9
9.91,44.84,56.97,134.85,4,3.1,0.78,6,2,7.4,20.988853,61.3
11.59,20.13,69.03,198.41,5.45,2.98,0.55,6,2,8,57.50785,56.5
10.96,41.09,70.55,176.51,16.64,3.44,0.21,6,2,8,73.21782,88.5
6.23,34,75.42,226.26,7.7,4.6,0.6,6,3,7.5,34.381664,96.4
9.64,28.44,69.8,185.05,5.73,2.46,0.43,6,2,8,73.30459,69.6
9.43,22.8,76.8,151.9,7.15,4.15,0.58,12,24,7.4,41.108585,100
10.49,50,75.44,150.88,7.5,5.3,0.71,3,3,7.6,17.065472,62.6
9.51,40.22,69.43,191.68,16.96,3.55,0.21,6,2,8,79.34813,90
8.37,43.58,81.8,163.61,6.7,4.4,0.66,7.1,7,7.5,22.786354,100
11.13,60.73,76.4,170.23,12,7.6,0.63,8,24,7.5,85.9253,60
10.42,30.67,70.17,178.91,6.4,2.75,0.43,6,2,8,70.21311,77.8
11.01,47.5,75,187,9.6,6.91,0.72,2,1.5,7.4,19.175198,89.4
9.52,37.51,77.82,233.46,7.7,4.6,0.6,6,3,7.5,32.80267,96.6
10.61,10.59,67.1,204.77,5.16,2.78,0.54,6,2,8,59.509014,63.6
10.52,55.25,85,166.29,9.6,6.91,0.72,2,0.5,7.6,12.926985,100
10.18,47.5,75,167,9.6,6.91,0.72,2,1.5,7.4,22.8771,65.8
9.41,72.13,52.57,134.63,4.3,3.3,0.77,6,0.5,7.4,24.084515,0
15.45,47.5,75,178,9.6,6.91,0.72,2,1.5,7.4,29.083399,84.6
10.19,30.55,68.31,194.49,5.55,2.58,0.46,6,2,8,72.24869,76.7
10.6,31,72.9,202.7,8.2,4,0.49,3.5,1.5,7.6,69.64814,57.4
11.07,47.5,75,184,9.6,6.91,0.72,2,1.5,7.4,19.95591,83.1
10.36,22.8,76.8,151.9,7,4.09,0.58,12,24,7.4,65.054375,37
25.09,45,77.47,172.14,4.65,3.58,0.77,5,6,7.5,14.590839,1.1
9.4,45,52,118,4,3.1,0.78,5.8,3.8,7.4,20.333565,65.9
15.53,50,73,146,5.5,4.6,0.84,5.8,5.8,7.6,7.8708334,37.1
18.1,45,81,162,4.35,3.27,0.75,5,6,7.5,4.4822474,11.2
12.98,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,21.038794,31
10.36,50.63,85,155.56,9.6,6.91,0.72,2,1,8,10.948464,100
9,45,52,118,4,3.1,0.78,5.8,3.8,7.4,22.58928,83.3
9.79,18.7,67.4,135.8,7.97,4.76,0.6,12,24,7.4,55.2955,18
10.61,31.05,70.32,213.89,4.76,2.21,0.46,6,2,8,75.46582,70
8.65,47.5,75,165,9.6,6.91,0.72,2,1.5,7.4,20.930237,63.6
9.29,18.7,67.4,135.8,8.48,4.82,0.57,12,24,7.4,8.60773,35.9
10.36,52.54,85,155.73,9.6,6.91,0.72,2,1,8.5,8.573915,100
9.69,30.67,68.31,178.35,8.48,3.17,0.37,6,2,8,68.87278,74.8
9.73,53.74,84,158.55,9.6,6.91,0.72,2,0.3,7.6,15.175182,0
11.6,39.48,72.41,189.37,17.13,3.6,0.21,6,2,8,81.66768,86.4
10.83,30.55,73.55,207.13,4.04,2.09,0.52,6,2,8,66.19984,62.6
11,47.5,75,164,9.6,6.91,0.72,2,1.5,7.4,47.548832,62.8
11.15,28.44,73.53,206.1,20.14,4.15,0.21,6,2,8,104.875244,90.9
9.79,22.8,76.8,151.9,7.7,4.21,0.55,12,24,7.4,62.192986,100
9.36,18.7,67.4,135.8,7.52,4.48,0.6,12,24,7.4,35.304756,100
21.14,50,76.2,158.75,12,7.83,0.65,12.9,24.1,7.5,65.13707,40.1
10.28,29.68,69.43,188.75,5.13,2.29,0.45,6,2,8,57.35209,74.5
10.07,18.7,67.4,135.8,7.67,4.67,0.61,12,24,7.4,27.699438,49.2
9.6,27.7,76.15,206.26,17.1,3.89,0.23,6,2,8,90.38644,93.3
6.54,44.67,52.6,117.24,3.1,2.4,0.77,8,6,7.4,18.325752,47.7
22.05,50,78,162.5,11.9,7.34,0.62,17,28.5,7.5,57.918606,20.8
15.73,45,75,166.67,4.65,3.58,0.77,5,6,7.5,15.170159,0
10.61,40.6,77.42,194.76,4.92,2.39,0.49,6,2,8,57.95586,68.2
10.83,20.13,70.97,198.29,4.91,2.61,0.53,6,2,8,66.08354,61.4
11.46,47.5,75,152,9.6,6.91,0.72,2,1.5,7.4,14.76512,57.6
15.73,45,68.34,151.87,4.8,3.62,0.75,5,6,7.5,5.924184,17.1
10.46,45,74,157.45,6.7,4.12,0.61,8,12,7.5,25.978176,84
10.42,49.9,70.92,177.43,14.87,3.73,0.25,6,2,8,83.10821,86.1
12.05,50,72,144,5.5,4.6,0.84,5.4,5.4,7.6,4.085205,43.5
11.43,18.7,67.4,135.8,9.06,6.76,0.75,12,24,7.4,30.38697,69
8.54,50,83.91,174.81,11.5,6.94,0.6,16.3,27.8,7.5,63.487473,39.1
13.27,50,82.56,165.12,5.5,4.6,0.84,5.2,5.2,7.6,6.4127684,60.1
10.36,37.2,84.67,254.02,7.7,4.6,0.6,6,3,7.5,31.975111,100
9.87,49.65,69.05,194.49,16.42,3.76,0.23,6,2,8,101.185295,91
28.35,50,75.44,150.88,7.5,5.3,0.71,3,3,7.6,27.447187,62.6
17.4,47.5,75,181,9.6,6.91,0.72,2,1.5,7.4,21.685604,79
11.1,51.35,85,158.61,9.6,6.91,0.72,1.5,0.5,7.6,9.087692,54
11.1,19.14,74.19,178.31,5.41,2.86,0.53,6,2,8,47.390423,53.4
10.08,47.5,75,153,9.6,6.91,0.72,2,1.5,7.4,14.933227,36.1
10.52,55.25,85,166.29,9.6,6.91,0.72,2,0.3,7.6,12.926985,100
9.55,49.65,71.29,187.57,13.4,3.78,0.28,6,2,8,80.656006,82.9
11.04,22.69,76.67,8.33,7.52,4.57,0.61,8,4,7.4,0.2553147,71.6
11.05,40.6,69.43,174.87,18.46,3.75,0.2,6,2,8,69.22931,87.5
11.48,29.43,70.32,195.65,5.25,2.74,0.52,6,2,8,61.660023,67.4
16.81,45,80.24,160.47,4.6,3.5,0.76,4,6,7.6,7.6512837,35.4
10.36,51.17,85,155.09,9.6,6.91,0.72,2,0.5,7,13.237605,75.7
19.23,45,140,137.25,7.8,6.65,0.85,5,6,7.5,1.2594767,16.2
9.87,44.52,88.37,176.74,6.7,4.4,0.66,6.9,6,7.5,27.715502,97.3
9.37,50.27,68.31,175.19,15.43,3.62,0.23,6,2,8,68.74053,89.8
8.18,50,80.2,167.08,11.2,7.64,0.68,15.6,27,7.5,62.313744,57
10.45,40,70.47,140.94,8.2,5.6,0.68,9.3,11,7.6,23.852646,79.7
10.1,40.6,70.55,182.73,16.72,3.88,0.23,6,2,8,73.78808,88.7
10.6,28.81,68.39,209.75,4.35,2.02,0.46,6,2,8,93.36266,74.1
14.22,50,76.52,153.03,7.2,5.32,0.74,6,6,7.5,12.083075,92.7
10.5,29.43,70.97,189.76,4.94,2.34,0.47,6,2,8,46.812828,75
9.74,40.22,72.41,204.22,19.04,4.09,0.21,6,2,8,92.615486,89.6
10.39,50,74.03,148.05,7.5,5.3,0.71,3,3,7.6,8.883421,91.8
11.29,18.7,67.4,135.8,7.97,4.79,0.6,12,24,7.4,24.558872,100
18.09,45,75,150,7,5.28,0.75,5,6,7.5,8.592208,23.1
11.15,31.05,72.04,181.98,8.87,3.12,0.35,6,2,8,71.294785,75.9
9.61,22.8,76.8,151.9,6.94,3.97,0.57,12,24,7.4,53.011868,100
11.49,34.94,90.23,180.45,6.7,4.4,0.66,8,10,7.5,17.539738,100
10.11,45,71.25,151.6,6.15,3.88,0.63,8,12,7.5,34.180443,85
9.64,31.05,70.55,193.96,4.87,2.35,0.48,6,2,8,69.61687,74.7
10.39,22.8,76.8,151.9,7.52,4.09,0.54,12,24,7.4,68.49125,100
11.13,60.73,76.4,170.23,12,7.6,0.63,8,20,7.5,85.9253,35.6
10.77,50,84,151.99,9.6,6.91,0.72,3,0.5,7.6,14.678042,0
9.64,22.8,76.8,151.9,7.15,4.15,0.58,12,24,7.4,49.663784,100
10.46,22.8,76.8,151.9,6.91,3.94,0.57,12,24,7.4,48.41716,100
11.64,18.7,67.4,135.8,9.06,5.97,0.66,12,24,7.4,67.43028,12.8
10.04,18.7,67.4,135.8,9.03,5.94,0.66,12,24,7.4,51.429493,100
10.42,40.35,72.41,188.18,18.3,4.09,0.22,6,2,8,80.04673,90.3
9.21,45,58,114,3.1,2.4,0.77,7.8,13.8,7.4,23.507416,93.2
9.42,30.3,74.28,186.93,8.15,3.04,0.37,6,2,8,73.09667,64.9
9.41,32.13,77.1,231.3,7.7,4.6,0.6,6,3,7.5,29.675802,100
12.21,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,25.332413,34.7
10.13,55,84,156.17,9.6,6.91,0.72,2,0.3,7.6,13.483453,5.2
10.36,51.17,85,155.09,9.6,6.91,0.72,2,1,7,13.237605,94.2
10.1,40.72,71.29,196.37,17.44,3.5,0.2,6,2,8,88.66263,89.3
9.61,22.8,76.8,151.9,7.36,4.39,0.6,12,24,7.4,52.54224,4.7
11.6,40,68.86,186.11,9.53,4.04,0.42,3,2.5,7.6,69.456955,49.3
10.36,43.95,85,155.14,9.6,6.91,0.72,2,0.5,7.5,11.311963,100
9.17,45,52,118,4,3.1,0.78,5.8,3.8,7.4,20.806236,72.3
13.33,50,75.3,150.6,7.5,5.3,0.71,3,3,7.6,8.384129,68.5
11.14,55,75,164.85,9.6,6.91,0.72,2,1,7.6,31.990744,77.1
9.66,36.34,78.62,235.85,7.7,4.6,0.6,6,3,7.5,25.633114,96.4
10.83,60.5,74.58,157.83,7.3,5.3,0.73,6,2,7.5,3.6848714,57.3
9.42,51.01,73.91,193.94,11.49,3.19,0.28,6,2,8,86.81671,77.4
10.33,30.05,67.93,199.06,7.98,3.12,0.39,6,2,8,81.25148,73.4
9.9,21.25,72.26,198.35,4.26,2.16,0.51,6,2,8,62.9194,66.6
10.77,50,84,151.99,9.6,6.91,0.72,3,1.5,7.6,14.678042,0
11.13,47.5,75,179,9.6,6.91,0.72,2,1.5,7.4,19.765738,87.5
11.8,47.5,75,157,9.6,6.91,0.72,2,1.5,7.4,16.827965,72.9
10.64,22.8,76.8,151.9,7.58,4.48,0.59,12,24,7.4,24.289198,56.2
9.68,22.8,76.8,151.9,7.03,4.27,0.61,12,24,7.4,80.94941,95.6
10.34,29.56,72.26,209.79,4.84,2.35,0.49,6,2,8,79.728,71.6
10.09,50,84,151.99,9.6,6.91,0.72,3,1.5,7.6,11.1616535,100
11.15,29.06,69.8,190.47,6.3,2.53,0.4,6,2,8,77.12808,76.4
12.14,9.72,69.68,180.99,5.77,2.84,0.49,6,2,8,48.106403,48.7
10.49,45,58,114,3.1,2.4,0.77,7.8,13.8,7.4,30.209692,62.2
11.65,41.34,70.17,195.83,18.26,3.93,0.22,6,2,8,89.9168,88.6
14.65,45,81.5,163,4.6,3.5,0.76,4,6,7.6,6.522323,54.4
12.36,43.23,85,158.61,9.6,6.91,0.72,2,0.5,6.5,9.578959,63.3
18,47.5,75,192,9.6,6.91,0.72,2,1.5,7.4,15.936741,81
10.65,51.51,71.29,179.87,16.73,3.91,0.23,6,2,8,77.69717,85.8
10.04,22.8,76.8,151.9,6.88,4.03,0.59,12,24,7.4,66.79479,100
12.76,32.86,79.61,159.23,6.7,4.4,0.66,7.4,8,7.5,52.328445,85.8
10.96,18.7,67.4,135.8,8.09,5.18,0.64,12,24,7.4,34.564003,79.9
10.57,24.42,74.39,147.27,7.52,4.57,0.61,12,24,7.4,51.901306,100
10.44,40,79.2,158.4,8.2,5.6,0.68,6,6,7.6,26.604527,56.6
5.67,50,85,160.11,9.6,6.91,0.72,2,0.3,7.6,11.58625,47.1
15.1,50,81,162,4.8,4.1,0.85,4,4,7.6,5.725472,66.9
4.98,20.15,52.09,104.19,6.7,4.4,0.66,8.5,11.8,7.5,43.51627,100
